Title,Summary,Latitude,Longitude,Cleaned Summary,Category,Mentioned Landmarks,Best Season,Weather Dependency
Guánica Light,"Guánica Light(Spanish:Faro de Guánica) was a historic lighthouse located in the municipality ofGuánica, Puerto Ricoin theGuánica State Forest. It was first lit in 1893 and deactivated in 1950.[3]The light marked the entrance to Guánica Bay and bridged the gap betweenLos Morrillos LightandCaja de Muertos Light. \n On July 25, 1898, lighthouse keeper Robustiano Rivera spotted the convoy of the American forces that initiated the landing offensive of thePuerto Rican Campaignduring theSpanish\xe2\x80\x93American War. He immediately gave the alert to the residents of Guánica and marched toYaucowhere he broke the news of the invading forces to the city\'s mayor.[4][5]\n By 2009, the lighthouse was practically in ruins, though some parts of its unique architectural elements were still visible.[6]It was listed in theU.S. National Register of Historic Placesin 1981,[3]and on thePuerto Rico Register of Historic Sites and Zonesin 2000.[7]\n",17.95083,-66.90306,"Guánica Light (Spanish: Faro de Guánica) was a historic lighthouse located in the municipality of Guánica, Puerto Rico in the Guánica State Forest. It was first lit in 1893 and deactivated in 1950. The light marked the entrance to Guánica Bay and bridged the gap between Los Morrillos Light and Caja de Muertos Light. 

On July 25, 1898, lighthouse keeper Robustiano Rivera spotted the convoy of the American forces that initiated the landing offensive of the Puerto Rican Campaign during the Spanish-American War. He immediately gave the alert to the residents of Guánica and marched to Yauco where he broke the news of the invading forces to the city's mayor.

By 2009, the lighthouse was practically in ruins, though some parts of its unique architectural elements were still visible. It was listed in the U.S. National Register of Historic Places in 1981, and on","Urban, Historical, Museums, Nature, Beaches","Caja de Muertos Light, Guánica Light, Guánica State Forest, Puerto Rico","Summer, Spring",Yes
Guánica State Forest,"TheGuánica State Forest(Spanish:Bosque Estatal de Guánica), popularly known as theGuánica Dry Forest(Spanish:Bosque seco de Guánica) is asubtropical dry forestlocated in southwestPuerto Rico. The area was designated as a forest reserve in 1919 and a United NationsBiosphere Reservein 1981.[2]It is considered the best preserved subtropicaldry forestand the best example of dry forest in theCaribbean.[3]\n With approximately 10,000 acres, it is the largest of the 20state forests of Puerto Rico, and it extends over 5 municipalities:Guánica,Guayanilla,Peñuelas,Ponce, andYauco(although the forest units located in the municipalities of Peñuelas and Ponce only consist of keys and small islands).[4]\n The dry forest area of southwestern Puerto Rico protected under the jurisdiction of theGuánica Dry Forestwas first established in 1919 as a forest reserve. The United Nations recognized the ecological value of the forest in 1981 when it was designated aBiosphere Reserve, the second in Puerto Rico afterEl Yunque National Forest(then called the Caribbean National Forest). The forest was given further protections as a nature reserve on October 16, 1985, by the Puerto Rico Planning Board (Spanish:Junta De Planificación), and all provisions from Law No. 133 from 1975 were subsequently applied to the nature reserve.[4]\n",17.96556,-66.87917,"The Guánica State Forest (Spanish: Bosque Estatal de Guánica), popularly known as the Guánica Dry Forest (Spanish: Bosque Seco de Guánica), is a subtropical dry forest located in southwest Puerto Rico. The area was designated as a forest reserve in 1919 and a United Nations Biosphere Reserve in 1981. It is considered the best-preserved subtropical dry forest and the best example of a dry forest in the Caribbean.

With approximately 10,000 acres, it is the largest of the 20 state forests of Puerto Rico, and it extends over 5 municipalities: Guánica, Guayanilla, Peñuelas, Ponce, and Yauco (although the forest units located in the municipalities of Peñuelas and Ponce only consist of keys and small islands).

The dry forest area of southwestern Puerto Rico protected under the jurisdiction of the Guánica Dry Forest was first established in 1919","Nature, Beaches","Guánica State Forest, Puerto Rico","Summer, Spring",Yes
Gómez Residence,"TheGómez Residence(Spanish:Residencia Gómez) is a historic house inMayag\xc3\xbcez, Puerto Rico. It was designed by architectFrancisco Porrata-Doríain a Mission/Spanish Revival, neo-Andalusístyle, and was built in 1933.[4]\n The house was added to the U.S.National Register of Historic Placesin 1988.[1]\n \n",18.202512,-67.143482,"The Gómez Residence (Spanish: Residencia Gómez) is a historic house in Mayagüez, Puerto Rico. It was designed by architect Francisco Porrata-Doría in a Mission/Spanish Revival, neo-Andalusí style, and was built in 1933. The house was added to the U.S. National Register of Historic Places in 1988.",Historical,"Gómez Residence, Puerto Rico",Year-round,No
Hacienda El Jibarito,"\n Hacienda El Jibaritois a 19-room agro-hotellocated inSan Sebastián,Puerto Ricodesigned to attract people to appreciate the countryside andhistoricelements of Puerto Rico.[1][2][3]It is isolated within the mountainous central region of the island and offers its visitors the chance learn more aboutPuerto Rican culturethrough typical clothing, music, and cuisine.\n A nearby waterfall in the hacienda grounds is another place of interest for visitors and tourists.\n",18.3772,-67.0292,"Hacienda El Jibarito is a 19-room agro-hotel located in San Sebastián, Puerto Rico designed to attract people to appreciate the countryside and historic elements of Puerto Rico. It is isolated within the mountainous central region of the island and offers its visitors the chance to learn more about Puerto Rican culture through typical clothing, music, and cuisine. A nearby waterfall in the hacienda grounds is another place of interest for visitors and tourists.","Nature, Historical, Beaches","Hacienda El Jibarito, Puerto Rico","Summer, Spring",Yes
Hacienda Juanita,"Hacienda Juanita(built 1833-34) is acoffee plantationhaciendain the town ofMaricao, Puerto Rico. The design is based on typicalPuerto Rican culture, and was commissioned by the wife of a Spanish official.[1]Coffee production at the hacienda declined from the 1960s.[2]\n From 1976 it was converted, with government assistance,[3]into one of Puerto Rico\'s earliestparadores, and ran, administered by thePuerto Rico Tourism Company, as a 21-room agro-hotel. At 1,600 ft (490 m) above sea level, visitors could enjoy the view and the peacefulness of the Puerto Rican mountains.[4]The parador passed to new private owners in 2005 but closed in 2011.[5]The hotel had hosted aSala del Parador, a permanent exhibit of antique artifacts related toPuerto Rican coffeeproduction.\n The 24 acres (97,000 m2) of lands are home to a number of floral and animal species including:[6]\n",18.17889,-66.99333,"Hacienda Juanita (built 1833-34) is a coffee plantation hacienda in the town of Maricao, Puerto Rico. The design is based on typical Puerto Rican culture and was commissioned by the wife of a Spanish official. Coffee production at the hacienda declined from the 1960s. From 1976, it was converted, with government assistance, into one of Puerto Rico's earliest paradores and ran, administered by the Puerto Rico Tourism Company, as a 21-room agro-hotel. At 1,600 ft (490 m) above sea level, visitors could enjoy the view and the peacefulness of the Puerto Rican mountains. The parador passed to new private owners in 2005 but closed in 2011. The hotel had hosted a Sala del Parador, a permanent exhibit of antique artifacts related to Puerto Rican coffee production. The 24 acres (97,000 m²) of lands are home to a number of floral and animal species","Nature, Museums","Hacienda Juanita, Puerto Rico","Summer, Spring",Yes
Hacienda Lealtad,"\n Hacienda Lealtad(IPA:[\xcb\x8csj\xe1\xba\xbdn\xcc\xaa.d\xcc\xaaale.al\xcc\xaa\xcb\x88t\xcc\xaaa\xc3\xb0\xcc\x9e]; also known asHacienda La Lealtad,[2](IPA:[a\xcb\x8csj\xe1\xba\xbdn\xcc\xaa.d\xcc\xaaalale.al\xcc\xaa\xcb\x88t\xcc\xaaa\xc3\xb0\xcc\x9e]) and once known asHacienda la Esperanza(IPA:[a\xcb\x8csj\xe1\xba\xbdn\xcc\xaa.d\xcc\xaaalaes.pe\xcb\x88\xc9\xbe\xc3\xa3n.sa]) is a historiccoffee plantationin barrioLa Torre, Lares, Puerto Rico. A largehacienda, it was founded in 1830, by Juan Bautista Plumey, a French immigrant, who arrived in Puerto Rico with enslaved people. (Juan Bautista Plumey was born in France on September 8, 1797, and named Jean Baptiste Henri Plumey.)[3]\n It would become the largest coffee plantation in Lares, with over thirty slaves and hundreds of day laborers working the 69cuerdasof coffee farm. For many years the plantation was a large producer and exporter of coffee.Day laborers,jornalerosorbracerosfrom Lares worked in the coffee fields of thehacienda. In 1880, it was owned by Miguel Marquez Enseñat.\n",18.2332883,-66.8840655,"Hacienda Lealtad (IPA: [ˈsjɑnˈdɑle.ɑlˈtɑð]; also known as Hacienda La Lealtad, (IPA: [ɑˈsjɑnˈdɑlale.ɑlˈtɑð]) and once known as Hacienda la Esperanza (IPA: [ɑˈsjɑnˈdɑlaes.peˈɣãn.sa]) is a historic coffee plantation in barrio La Torre, Lares, Puerto Rico. A large hacienda, it was founded in 1830 by Juan Bautista Plumey, a French immigrant who arrived in Puerto Rico with enslaved people. (Juan Bautista Plumey was born in France on September 8, 1797, and named Jean Baptiste Henri Plumey.) It would become the largest coffee plantation in La",Historical,"Hacienda Lealtad, Puerto Rico",Year-round,No
Hacienda Santa Rita,"Hacienda Santa Ritais located in the municipality ofGuánica, Puerto Rico. It is also known asCasa Madre y Noviciado de las Hermanas Dominicas de Fatimaand was built in 1800 by DonMariano Quiñonez.[2]\n It was listed on the U.S.National Register of Historic Placesin 1984 and on thePuerto Rico Register of Historic Sites and Zonesin 2000.[3][1]\n It consists of buildings of a formersugar plantation,Hacienda Desideria, including a main house and slave quarters.[2]\n",18.007462,-66.884302,"Hacienda Santa Rita is located in the municipality of Guánica, Puerto Rico. It is also known as Casa Madre y Noviciado de las Hermanas Dominicas de Fátima and was built in 1800 by Don Mariano Quiñonez. It was listed on the U.S. National Register of Historic Places in 1984 and on the Puerto Rico Register of Historic Sites and Zones in 2000. It consists of buildings of a former sugar plantation, H",Historical,"Hacienda Santa Rita, Puerto Rico",Year-round,No
Hacienda San Francisco,"Hacienda San Francisco, also known asHacienda Quilichini, is a sugar mill complex with hacienda house that was listed on the U.S.National Register of Historic Placesin 1995 and on thePuerto Rico Register of Historic Sites and Zonesin 2000.[1][2][3]The sugar mill was built in 1871. The hacienda house and a mill are regarded ascontributing buildings; there are also a kitchen, a shed, a water tower, and some other buildings.[2]\n \n This article about aproperty in Puerto Rico on the National Register of Historic Placesis astub. You can help Wikipedia byexpanding it.",18.07778,-66.96278,"Hacienda San Francisco, also known as Hacienda Quilichini, is a sugar mill complex with a hacienda house that was listed on the U.S. National Register of Historic Places in 1995 and on the Puerto Rico Register of Historic Sites and Zones in 2000. The sugar mill was built in 1871. The hacienda house and mill are regarded as contributing buildings; there are also a kitchen, a shed, a water tower, and some other buildings.",Historical,"Hacienda San Francisco, Puerto Rico",Year-round,No
Hatillo barrio-pueblo,"Hatillo barrio-pueblois abarrioand the administrative center (seat) ofHatillo, a municipality of Puerto Rico. Its population in 2010 was 3,117.[1][4][5][6]\n As was customary in Spain, in Puerto Rico, the municipality has a barrio calledpueblowhich contains a central plaza, the municipal buildings (city hall), and a Catholic church.Fiestas patronales(patron saint festivals) are held in the central plaza every year.[7][8]\n The central plaza, or square, is a place for official and unofficial recreational events and a place where people can gather and socialize from dawn to dusk. TheLaws of the Indies, Spanish law, which regulated life in Puerto Rico in the early 19th century, stated the plaza\'s purpose was for ""the parties"" (celebrations, festivities) (Spanish:a propósito para las fiestas), and that the square should be proportionally large enough for the number of neighbors (Spanish:grandeza proporcionada al número de vecinos). These Spanish regulations also stated that the streets nearby should be comfortable portals for passersby, protecting them from the elements: sun and rain.[7]\n",18.483922,-66.825117,"Hatillo barrio-pueblo is a barrio and the administrative center (seat) of Hatillo, a municipality of Puerto Rico. Its population in 2010 was 3,117. As was customary in Spain, in Puerto Rico, the municipality has a barrio called pueblo which contains a central plaza, the municipal buildings (city hall), and a Catholic church. Fiestas patronales (patron saint festivals) are held in the central plaza every year. The central plaza, or square, is a place for official and unofficial recreational events and a place where people can gather and socialize from dawn to dusk. The Laws of the Indies, Spanish law, which regulated life in Puerto Rico in the early 19th century, stated the plaza's purpose was for ""the parties"" (celebrations, festivities) (Spanish: a propósito para las fiestas), and that the square should be proportionally large enough for the number of neighbors (Spanish: grandeza proporcion","Urban, Museums, Religious","Hatillo barrio-pueblo, Puerto Rico",Year-round,No
Henry Klumb House,"TheHenry Klumb House(Spanish:Casa Henry Klumbor more generallyCasa Klumb), also known asCody Ranch, was a 1949 house inSan Juan, Puerto Ricodesigned by German-born architectHenry KlumbinModern Movement architecture. The Klumb House was listed on the U.S.National Register of Historic Placesin 1997.[1][2]\n The property where Casa Klumb originally belonged to José Ramón Latimer and his wife Esther C. Cody, who lived there at the end of the 19th century. Eventually, Cody inherited the property and the house became known as the Cody Ranch.\n In 1943, architectHenry Klumb, an apprentice ofFrank Lloyd Wright, was invited by then-Governor of Puerto RicoRexford Tugwellto serve as Director of the Design Committee of Public Works. As a result, Klumb moved to the island in 1944 with his wife, Else, and their two children, Peter and Richard. Klumb bought the Cody Ranch in 1947, and the remodeling began in 1949. Klumb and his wife lived in the house until their death in November 1984 as a result of acar accident.\n",18.399506,-66.034995,"The Henry Klumb House (Spanish: Casa Henry Klumb or more generally Casa Klumb), also known as Cody Ranch, was a 1949 house in San Juan, Puerto Rico designed by German-born architect Henry Klumb in Modern Movement architecture. The Klumb House was listed on the U.S. National Register of Historic Places in 1997.

The property where Casa Klumb originally belonged to José Ramón Latimer and his wife Esther C. Cody, who lived there at the end of the 19th century. Eventually, Cody inherited the property and the house became known as the Cody Ranch.

In 1943, architect Henry Klumb, an apprentice of Frank Lloyd Wright, was invited by then-Governor of Puerto Rico Rexford Tugwell to serve as Director of the Design Committee of Public Works. As a result, Klumb moved to the island in 1944 with his wife, Else, and their two children, Peter and Richard. Klumb bought the Cody","Historical, Beaches","Henry Klumb House, Puerto Rico","Summer, Spring",Yes
Hermitage of San Antonio de Padua de la Tuna,"TheHermitage of San Antonio de Padua de la Tuna(Spanish:Ermita de San Antonio de Padua de la Tuna) is an archaeological site located near theGuajataca RiverinCoto,Isabela, Puerto Rico, dating from 1730. It comprises the ruins of a village church that was abandoned in the early 19th century when the community, with the permission of GovernorSalvador Meléndez, moved to a more favorable location nearer the coast, which became the moderntown of Isabela, founded in 1819.[2][3]\n The hermitage was listed on the U.S.National Register of Historic Placesin 1983,[4]and on thePuerto Rico Register of Historic Sites and Zonesin 2000.[5]The ruins are easily accessible from the mainPR-2road.[6]\n Around 1725,Spanish Governor of Puerto RicoJosé Antonio de Mendizábal y Azares, granted authorization to base a population on the existing hermitage and village. Its given name, San Antonio de La Tuna, derives from the avocation of the Spanish settlers to the saintAnthony of Paduaand after the abundance of prickly pears growing in the region (Opuntiaortuna, in Spanish). At the end of the 18th century San Antonio de la Tuna had a church, more than sixty houses, and almost 1,200 inhabitants, which was a considerable population for those times.\n",18.478613,-66.96339,"The Hermitage of San Antonio de Padua de la Tuna (Spanish: Ermita de San Antonio de Padua de la Tuna) is an archaeological site located near the Guajataca River in Coto, Isabela, Puerto Rico, dating from 1730. It comprises the ruins of a village church that was abandoned in the early 19th century when the community, with the permission of Governor Salvador Meléndez, moved to a more favorable location nearer the coast, which became the modern town of Isabela, founded in 1819. The hermitage was listed on the U.S. National Register of Historic Places in 1983, and on the Puerto Rico Register of Historic Sites and Zones in 2000. The ruins are easily accessible from the main PR-2 road. Around 1725, Spanish Governor of Puerto Rico José Antonio de Mendizábal y Azares granted authorization to base a population on the existing hermitage","Nature, Historical, Religious, Beaches","Hermitage of San Antonio de Padua de la Tuna, Puerto Rico","Summer, Spring",Yes
Hipódromo Camarero,"Hipódromo Camarero(formerly known asEl Nuevo Comandante) is ahorse racingbuilding located inCanóvanas, Puerto Rico, to the east ofSan JuanandCarolina. It is about a fifteen-minute drive from Carolina\'sLuis Muñoz Marín International Airport, and 25 minutes east from the Isla Verdehotelarea. The new administration of Camarero Race Track Corporation start operations on January 5, 2007.\n El Nuevo Comandante was built in 1976, and opened on October 31, 1976, to substitute the original ""El Comandante"" building, which had been located in Carolina, from January 1957 to mid October 1976. It has become arguably the most important horse racing complex in the island, holding horse races every Monday, Wednesday, Friday, Saturday and Sunday.\n Camarero features abettingwindow, in which players can try their luck at different games, such as ""El Pool Pote"" and others. The top award a player can win at Hipodromo Camarero is the ""Pool Pote"" (Pool Pot) which has reached a staggering 12 Million dollars and has been the largest pot ever won in Puerto Rico\'s Horse Racing Industry. In addition to the betting windows at El Nuevo Comandante, the Industry has a link of betting agencies throughout Puerto Rico. These are called ""agencias hipicas"", and people can go there to place bets as well and enjoy local refreshments and snacks.\n",18.365767,-65.905137,"Hipódromo Camarero (formerly known as El Nuevo Comandante) is a horse racing building located in Canóvanas, Puerto Rico, to the east of San Juan and Carolina. It is about a fifteen-minute drive from Carolina's Luis Muñoz Marín International Airport, and 25 minutes east from the Isla Verde hotel area. The new administration of Camarero Race Track Corporation started operations on January 5, 2007.

El Nuevo Comandante was built in 1976, and opened on October 31, 1976, to substitute the original ""El Comandante"" building, which had been located in Carolina from January 1957 to mid-October 1976. It has become",Museums,"Hipódromo Camarero, Luis Muñoz Marín International Airport, Puerto Rico",Year-round,No
Hiram Bithorn Stadium,"Hiram Bithorn Stadium(Spanish:Estadio Hiram Bithorn) is abaseball parkinSan Juan, Puerto Rico, built in 1962 and designed by Puerto Rican architect Pedro Miranda.[1]The stadium is home to theCangrejeros de Santurceof thePuerto Rican Baseball League(LBPRC), and briefly was home toMajor League Baseball\'sMontreal Exposduring their final years.\n It is operated by the municipal government of the city of San Juan. Its name honors the first Puerto Rican to play in the major leagues,Hiram Bithorn, who first played with theChicago Cubsin 1942. Built in 1962, under the mayoral administration ofFelisa Rincón de Gautieras a replacement forEstadio Sixto Escobar, it was added to theNational Register of Historic Placesin 2014.[2]\n The stadium has approximately 18,000 seats. The stadium is 325 feet (99 m) down the left-field line, 325 feet (99 m) down the right-field line and 404 feet (123 m) to center field. The fences are 8 feet (2.5 m) high. When the Expos played home games at Hiram Bithorn, the field dimensions were set to match Olympic Stadium in Montreal.[3]\n",18.41667,-66.07306,"Hiram Bithorn Stadium (Spanish: Estadio Hiram Bithorn) is a baseball park in San Juan, Puerto Rico, built in 1962 and designed by Puerto Rican architect Pedro Miranda. The stadium is home to the Cangrejeros de Santurce of the Puerto Rican Baseball League (LBPRC) and briefly was home to Major League Baseball's Montreal Expos during their final years. It is operated by the municipal government of the city of San Juan. Its name honors the first Puerto Rican to play in the major leagues, Hiram Bithorn, who first played with the Chicago Cubs in 1942. Built in 1962, under the mayoral administration of Felisa Rincón de Gautier as a replacement for Estadio Sixto Escobar, it was added to the National Register of Historic Places in 2014. The stadium has approximately 18,000 seats. The stadium is 325 feet (99 m) down the left","Nature, Urban, Historical","Estadio Sixto Escobar, Hiram Bithorn Stadium, Puerto Rico","Summer, Spring",Yes
Hormigueros barrio-pueblo,"Hormigueros barrio-pueblois abarrioand the administrative center (seat) ofHormigueros, a municipality of Puerto Rico. Its population in 2010 was 1,204. There is also anHormigueros barrioin this municipality, with a much larger population.[1][4][5][6]\n As was customary in Spain, in Puerto Rico, the municipality has a barrio calledpueblowhich contains a central plaza, the municipal buildings (city hall), and a Catholic church.Fiestas patronales(patron saint festivals) are held in the central plaza every year.[7][8]\n The central plaza, or square, is a place for official and unofficial recreational events and a place where people can gather and socialize from dusk to dawn. TheLaws of the Indies, Spanish law, which regulated life in Puerto Rico in the early 19th century, stated the plaza\'s purpose was for ""the parties"" (celebrations, festivities) (Spanish:a propósito para las fiestas), and that the square should be proportionally large enough for the number of neighbors (Spanish:grandeza proporcionada al\nnúmero de vecinos). These Spanish regulations also stated that the streets nearby should be comfortable portals for passersby, protecting them from the elements: sun and rain.[7]\n",18.139815,-67.126047,"Hormigueros barrio-pueblo is a barrio and the administrative center (seat) of Hormigueros, a municipality of Puerto Rico. Its population in 2010 was 1,204. There is also an Hormigueros barrio in this municipality, with a much larger population. As was customary in Spain, in Puerto Rico, the municipality has a barrio called pueblo which contains a central plaza, the municipal buildings (city hall), and a Catholic church. Fiestas patronales (patron saint festivals) are held in the central plaza every year. The central plaza, or square, is a place for official and unofficial recreational events and a place where people can gather and socialize from dusk to dawn. The Laws of the Indies, Spanish law, which regulated life in Puerto Rico in the early 19th century, stated the plaza's purpose was for ""the parties"" (celebrations, festivities) (Spanish: a propósito para las fiestas","Urban, Museums, Religious","Hormigueros barrio-pueblo, Puerto Rico",Year-round,No
Hotel El Convento,"Hotel El Conventois a small hotel inOld San Juan,Puerto Rico, in what was a Carmelite convent, adjoining theSan Juan Cathedralsquare. The cathedral is the second-oldestcathedralin theWestern Hemisphere. Hotel El Convento is the oldest member of theHistoric Hotels of America. It was also named the premier Small Luxury Hotel in Puerto Rico by the Small Luxury Hotels of the World organization.\n In 1646, construction began on theCarmeliteconvent,[1]through a petition by KingPhilip IV of Spain. TheMonasterio del Señor San José de la Orden de nuestra Señora del Carmen(Monastery of Our Lady Carmen of San Jose) was founded in 1651 by Doña Ana Lanzós, a wealthy widow who donated her money and her magnificent residence (a large double sloped tiled roof) in the street that since then bears her name: de las Monjas. Historian María de los \xc3\x81ngeles Castro tells us that the delay in the arrival of a nunnery was due to economic reasons but also for lack of defense since the fortifications of the city were not yet complete. Three nuns brought especially from Santo Domingo served as founders.\n The building was expanded between 1854 and 1861 after the original building was torn down. GovernorFernándo Norzagaray y Escuderopersonally helped to raise the necessary funds and inspected the work daily. Certain elements stand out in the facade of the chapel, beside the entrance, the pair of Tuscan columns, the two towers and the latticed choir arch. The frieze above the door is interrupted for a legend that never was placed. The building was closed from 1903 to 1959 and then sold. During its conversion to a hotel the two towers were removed as was the cross that identified the site as a convent.\n",18.465838,-66.118228,"Hotel El Convento is a small hotel in Old San Juan, Puerto Rico, in what was a Carmelite convent, adjoining the San Juan Cathedral square. The cathedral is the second-oldest cathedral in the Western Hemisphere. Hotel El Convento is the oldest member of the Historic Hotels of America. It was also named the premier Small Luxury Hotel in Puerto Rico by the Small Luxury Hotels of the World organization. 

In 1646, construction began on the Carmelite convent, through a petition by King Philip IV of Spain. The Monasterio del Señor San José de la Orden de nuestra Señora del Carmen (Monastery of Our Lady Carmen of San Jose) was founded in 1651 by Doña Ana L","Urban, Historical, Religious","Hotel El Convento, Old San Juan, Puerto Rico",Year-round,No
Hotel Meliá,"\n Hotel Meliáis a historic[13]colonial style[14]family owned and operated hotel located in thePonce Historic ZoneinPonce, Puerto Rico. It is the oldest continuously operating hotel inPuerto Rico.[15][2]Hotel Meliá, which was founded over 60 years before the much largerMeliá Hotels Internationalchain opened its first lodging facility, bears no relation to the multi-hotel chain headquartered inSpain.[16][17]\n The colonialfacadeof Hotel Meliá is located across fromParque de BombasinPlaza Las Delicias, in downtown Ponce.[16]\n",18.011778,-66.613111,"Hotel Meliá is a historic colonial-style family-owned and operated hotel located in the Ponce Historic Zone in Ponce, Puerto Rico. It is the oldest continuously operating hotel in Puerto Rico. Hotel Meliá, which was founded over 60 years before the much larger Meliá Hotels International chain opened its first lodging facility, bears no relation to the multi-hotel chain headquartered in Spain. The colonial facade of Hotel Meliá is located across from Parque de Bombas in Plaza Las","Urban, Museums, Historical","Hotel Meliá, Parque de Bombas, Ponce Historic Zone, Puerto Rico, Ponce Historic Zone",Year-round,No
Hotel Ponce Intercontinental,"\n TheHotel Ponce Intercontinental(also known as""El Ponce"") is anabandoned hotelwith a still existing structure atCerro del VigíainPonce, Puerto Rico. The structure is considered a historic landmark and anational iconin the city ofPonceandPuerto Rico.[4]The property is currently owned by Misla Hospitality Group, a family of local Ponce investors who bought it from CBC Development. Its architecture isclassical modern.[5]When it opened, in 1960, it became the firstmodernhotel in the city.[6]\n The hotel is located in the northern section of the city of Ponce, on a hill just north of theEl Vigia Hill, behindCruceta del VigíaandCastillo Serralles.[7]The hotel had a large circular outdoor swimming pool, aballroomnamedSalón Ponciana, a cocktail bar namedBar Coquí; and a restaurant calledEl Cafetal.[8]The hotel also had a casino that operated until 1973.[9]On the top of the hotel,WRIK-TVhad its transmission antenna.[10]The hotel is on a lot measuring approximately 25cuerdas(roughly 25 acres).[11]The land area is 22.5cuerdas.[12]\n",18.0215,-66.6207194,"The Hotel Ponce Intercontinental (also known as ""El Ponce"") is an abandoned hotel with a still-existing structure at Cerro del Vigía in Ponce, Puerto Rico. The structure is considered a historic landmark and a national icon in the city of Ponce and Puerto Rico. The property is currently owned by Misla Hospitality Group, a family of local Ponce investors who bought it from CBC Development. Its architecture is classical modern. When it opened in 1960, it became the first modern hotel in the city.

The hotel is located in the northern section of the city of Ponce, on a hill just north of the El Vigia Hill, behind Cruceta del Vigía and Castillo Serralles. The hotel had a large circular outdoor swimming pool, a ballroom named Salón Ponciana, a cocktail bar named Bar Coquí, and a restaurant called El Cafetal. The hotel also had a casino that operated until 1973. On the top of","Urban, Historical","Cruceta del Vigía, Hotel Ponce Intercontinental, Puerto Rico",Year-round,No
Ponce Plaza Hotel & Casino,"\n Antonio Muñoz Bermúdez, CEO[4]\n ThePonce Plaza Hotel & Casino, formerlyPonce Ramada HotelandPonce Plaza Ramada Hotel, is a five-story hotel inPonce, Puerto Rico. The hotel opened in the summer of 2009 and is known for the historic value of its structure: its main entrance is a historiccolonialstructure known as""Casa Saurí""(Saurí House). In February 2013, the hotel expanded its facilities to include acasino, acocktail lounge, and a 4-story, 200-carparking garage.[14]On 1 July 2014, the owners left theRamadanamesake franchise and renamed the hotelPonce Plaza Hotel & Casino.[15]\n",18.012111,-66.614667,"Antonio Muñoz Bermúdez, CEO
The Ponce Plaza Hotel & Casino, formerly Ponce Ramada Hotel and Ponce Plaza Ramada Hotel, is a five-story hotel in Ponce, Puerto Rico. The hotel opened in the summer of 2009 and is known for the historic value of its structure: its main entrance is a historic colonial structure known as ""Casa Saurí"" (Saurí House). In February 2013, the hotel expanded its facilities","Urban, Historical","Ponce Plaza Hotel & Casino, Puerto Rico",Year-round,No
House at 659 Concordia Street,"659 Concordiais a historicMission Revivalhouse located inMiramar, a historic residential area ofSanturcein the city ofSan Juan, Puerto Rico.[1]The house was built in 1935 from a design render by architect Joseph O\'Kelly, aColumbia University-graduate who moved to Puerto Rico in 1922 and became involved in the construction of several notorious projects such as theCapitol of Puerto Ricoand several structures in theUniversity of Puerto Rico, Río Piedras campus. The residence, along with others in the area designed by Puerto Rican architectPedro Adolfo de Castro, helped usher the Mission Revival style in the island.[2]\n \n This article about aproperty in Puerto Rico on the National Register of Historic Placesis astub. You can help Wikipedia byexpanding it.",18.4525283,-66.0822967,"659 Concordia is a historic Mission Revival house located in Miramar, a historic residential area of Santurce in the city of San Juan, Puerto Rico. The house was built in 1935 from a design render by architect Joseph O'Kelly, a Columbia University graduate who moved to Puerto Rico in 1922 and became involved in the construction of several notable projects such as the Capitol of Puerto Rico and several structures in the University of Puerto Rico, Río Piedras campus. The residence, along with others in the area designed by Puerto Rican architect Pedro Adolfo de Castro, helped usher the Mission Revival style in the island.

This article about a property in Puerto Rico on the National Register of Historic Places is a stub. You can help Wikipedia by expanding it.","Urban, Museums, Historical, Beaches","Capitol of Puerto Rico, Puerto Rico, University of Puerto Rico, Río Piedras Campus","Summer, Spring",Yes
House at 659 La Paz Street,"659 La Pazis a historicMission Revivalhouse designed by famed Puerto Rican architectPedro Adolfo de Castrolocated inMiramar, a historic residential area ofSanturcein the city ofSan Juan, Puerto Rico.[1]The house was built in 1928, and it was the first of various private residences in Miramar designed by Pedro Adolfo de Castro that, along with structures such asCastillo Serrallés, were instrumental in ushering the Mission Revival architectural style in Puerto Rico.[2]\n \n This article about aproperty in Puerto Rico on the National Register of Historic Placesis astub. You can help Wikipedia byexpanding it.",18.4528592,-66.0827824,"659 La Paz is a historic Mission Revival house designed by famed Puerto Rican architect Pedro Adolfo de Castro located in Miramar, a historic residential area of Santurce in the city of San Juan, Puerto Rico. The house was built in 1928, and it was the first of various private residences in Miramar designed by Pedro Adolfo de Castro that, along with structures such as Castillo Serrallés, were instrumental in ushering the Mission Revival architectural style in Puerto","Urban, Historical","Castillo Serrallés, Puerto Rico",Year-round,No
